City_ID,City,Country,Current Description,Lat,Lng,Hotel Name
2,Kukuna,SL,clear sky,9.4,-12.67,
4,Flinders,AU,broken clouds,-34.58,150.86,Shellharbour Resort & Conference Centre
6,Busselton,AU,few clouds,-33.65,115.33,Observatory Guest House
9,Puerto Ayora,EC,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
17,Hilo,US,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
27,Pinotepa Nacional,MX,clear sky,16.32,-98.02,Hotel Maria Del Carmen
36,Mattru,SL,scattered clouds,7.62,-11.83,Boima Gbondo's Compound
41,Souillac,MU,few clouds,-20.52,57.52,Bils' Villa
45,Atuona,PF,clear sky,-9.8,-139.03,Villa Enata
46,Kapaa,US,clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
48,Carnarvon,AU,clear sky,-24.87,113.63,Hospitality Carnarvon
57,Vila Velha,BR,thunderstorm,-20.33,-40.29,Hotel Vitória Palace
62,Ottappalam,IN,mist,10.77,76.38,Builda Park inn
63,Namibe,AO,overcast clouds,-15.2,12.15,Chik-Chik Namibe
64,Oistins,BB,few clouds,13.07,-59.53,Butterfly Beach Hotel
66,New Norfolk,AU,few clouds,-42.78,147.06,The Shingles Riverside Cottages
73,Muli,MV,overcast clouds,2.92,73.57,Medhufushi Island Resort
82,Caravelas,BR,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
88,Lufilufi,WS,light intensity drizzle,-13.87,-171.6,Leuaina Beach Resort and Spa
89,Sidney,AU,shower rain,-33.87,151.21,QT Sydney
95,Hobart,AU,few clouds,-42.88,147.33,St Ives Apartments
96,Mogadishu,SO,clear sky,2.04,45.34,Hotel Juba
97,Sungairaya,ID,overcast clouds,0.7,108.9,808 artel
100,Sao Miguel Do Araguaia,BR,overcast clouds,-13.28,-50.16,Hotel Executivo Palace
101,Moree,AU,overcast clouds,-29.47,149.85,Molika Springs Motel
106,Wodonga,AU,scattered clouds,-36.12,146.88,Blazing Stump Motel & Suites Wodonga
115,Merauke,ID,overcast clouds,-8.47,140.33,
118,Alofi,NU,broken clouds,-19.06,-169.92,Taloa Heights
120,Alyangula,AU,broken clouds,-13.85,136.42,Groote Eylandt Lodge
121,Alagoinhas,BR,scattered clouds,-12.14,-38.42,Alagoinhas Plaza Hotel
122,Vaini,TO,broken clouds,-21.2,-175.2,Keleti Beach Resort
132,San Cristobal,VE,haze,7.77,-72.22,Pirineos
135,Cabo San Lucas,MX,scattered clouds,22.89,-109.91,Hotel Tesoro Los Cabos
138,Samarai,PG,broken clouds,-10.62,150.67,Nuli Sapi
143,Hithadhoo,MV,overcast clouds,-0.6,73.08,Scoop Guest House
144,Kokoda,PG,overcast clouds,-8.88,147.74,Daito Guest House
150,Touros,BR,scattered clouds,-5.2,-35.46,INN NEW HORIZON
151,Tabou,CI,overcast clouds,4.42,-7.35,hotêl doufoulougou
152,Isangel,VU,broken clouds,-19.55,169.27,Volcano Sea View Tree House
155,Mamallapuram,IN,mist,12.63,80.17,Radisson Blu Resort Temple Bay Mamallapuram
159,Poum,NC,clear sky,-20.23,164.02,Gîte kajeon
161,Kahului,US,broken clouds,20.89,-156.47,Maui Seaside Hotel
165,Saint-Leu,RE,overcast clouds,-21.15,55.28,La Caz Oceane
170,Soe,ID,broken clouds,-9.86,124.28,Dena Hotel
171,Daru,PG,broken clouds,-9.08,143.21,New century hotel
184,Santa Rosa,PH,few clouds,14.31,121.11,Erlyn’s Sta Rosa City Home
185,Ahuimanu,US,scattered clouds,21.44,-157.84,Paradise Bay Resort
188,Salinopolis,BR,overcast clouds,-0.61,-47.36,Hotel Salinópolis
191,Airai,TL,clear sky,-8.93,125.41,Juvinal Martin
200,Georgetown,MY,few clouds,5.41,100.34,Cititel Penang
203,Wewak,PG,few clouds,-3.55,143.63,In Wewak Boutique Hotel
211,Tautira,PF,shower rain,-17.73,-149.15,Pension Oaoa
212,Luanda,AO,thunderstorm with light rain,-8.84,13.23,EPIC SANA Luanda
213,Lakatoro,VU,overcast clouds,-16.1,167.42,Lakatoro Palm Lodge
218,Gorontalo,ID,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
225,Afikpo,NG,scattered clouds,5.89,7.94,P. Noble Hotels and Suite
226,Butterworth,MY,few clouds,5.4,100.36,Cititel Penang
230,Kaele,CM,clear sky,10.11,14.45,Hotel Du Centre
231,Pangkalanbuun,ID,broken clouds,-2.68,111.62,Grand Kecubung Hotel
232,Kpandae,GH,few clouds,8.47,-0.01,
234,Beaufort,MY,broken clouds,5.35,115.75,The Gem Hotel Beaufort
243,Sibu,MY,broken clouds,2.3,111.82,RH HOTEL (4 Star)
246,Yaqui,MX,overcast clouds,27.37,-110.17,
248,Sabla,NG,scattered clouds,12.75,4.71,
250,Bubaque,GW,broken clouds,11.28,-15.83,Casa Dora
252,San Mateo Del Mar,MX,clear sky,16.2,-95.0,
259,Mount Isa,AU,scattered clouds,-20.73,139.5,ibis Styles Mt Isa Verona
263,Gaoua,BF,clear sky,10.3,-3.25,
264,Pisco,PE,broken clouds,-13.7,-76.22,Hostal San Isidro Oficial
268,Ulladulla,AU,broken clouds,-35.35,150.47,Sandpiper Motel
269,Bonthe,SL,scattered clouds,7.53,-12.51,Bonthe Holiday Village
271,Makasar,ID,scattered clouds,-5.14,119.42,Aryaduta Makassar
276,Kannangad,IN,mist,12.31,75.11,Hotel Landmark
279,Kudahuvadhoo,MV,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
280,Bambous Virieux,MU,few clouds,-20.34,57.76,Casa Tia Villa
287,Quatre Cocos,MU,few clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
296,Labuan,MY,broken clouds,5.28,115.24,Tiara Labuan Hotel
297,La Fria,VE,haze,8.22,-72.24,Estacionamiento de los toledos.
303,Hobyo,SO,broken clouds,5.35,48.53,
305,Kavieng,PG,clear sky,-2.57,150.8,Nusa Island Retreat
311,Comodoro Rivadavia,AR,scattered clouds,-45.87,-67.5,Austral Hotel
315,Neiafu,TO,broken clouds,-18.65,-173.98,Mystic Sands
319,Bathsheba,BB,few clouds,13.22,-59.52,Atlantis Hotel
320,Taoudenni,ML,clear sky,22.68,-3.98,
323,Port Lincoln,AU,clear sky,-34.73,135.87,Port Lincoln Hotel
328,Cairns,AU,light intensity shower rain,-16.92,145.77,Mantra Trilogy Cairns
330,Porto Novo,BJ,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
331,Coffs Harbour,AU,light intensity shower rain,-30.3,153.13,Aquajet Motel
333,Saint-Pierre,RE,overcast clouds,-21.34,55.48,Lindsey Hôtel
334,Lorengau,PG,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
337,Magomeni,TZ,overcast clouds,-6.8,39.25,Holiday Inn Dar Es Salaam
342,Belmonte,BR,few clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
347,Port Macquarie,AU,scattered clouds,-31.43,152.92,Rydges Port Macquarie
353,Kihei,US,broken clouds,20.79,-156.47,Maui Sunset
355,Tomatlan,MX,scattered clouds,19.93,-105.25,Norma franco
359,Geraldton,AU,scattered clouds,-28.77,114.6,Broadwater Mariner Resort
360,Touho,NC,clear sky,-20.78,165.23,Auberge Timay Evasion
367,Biu,NG,clear sky,10.61,12.19,EYN LCC MANDARAGIRAU
373,Port Augusta,AU,clear sky,-32.5,137.77,Majestic Oasis Apartments
381,Bowen,AU,overcast clouds,-20.02,148.23,Castle Motor Lodge Motel
387,Karratha,AU,clear sky,-20.74,116.85,ibis Styles Karratha
389,Port Blair,IN,mist,11.67,92.75,Fortune Resort Bay Island
391,Kavaratti,IN,broken clouds,10.57,72.64,Hotels in Lakshadweep Islands
401,Mahebourg,MU,few clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
409,Manavalakurichi,IN,mist,8.13,77.3,Udaya Boys Hostel
417,Gladstone,AU,scattered clouds,-23.85,151.25,Metro Hotel and Apartments Gladstone
431,Acajutla,SV,clear sky,13.59,-89.83,Villavela Hotel Boutique
436,Amahai,ID,broken clouds,-3.33,128.92,Hotel isabella
438,Kailua,US,scattered clouds,21.4,-157.74,Sheffield House Bed & Breakfast
439,Inhambane,MZ,scattered clouds,-23.86,35.38,MHL Turismo SA
446,Eyl,SO,broken clouds,7.98,49.82,Amiin Hotel
449,Le Moule,GP,broken clouds,16.33,-61.35,Lakaz Hananou
451,Balabac,PH,few clouds,7.99,117.06,Sing and Swing Lodge
452,Takoradi,GH,broken clouds,4.88,-1.76,Raybow International Hotel
456,Si Racha,TH,haze,13.17,100.93,Cape Racha Hotel & Serviced Apartments
457,Kununurra,AU,scattered clouds,-15.77,128.73,Hotel Kununurra
459,Port Hedland,AU,broken clouds,-20.32,118.57,The Esplanade Hotel
466,Bouca,CF,broken clouds,6.51,18.27,
479,Hambantota,LK,overcast clouds,6.12,81.12,Bungalow 63
482,Olinda,BR,few clouds,-8.01,-34.86,Hotel 5 Sóis
487,Alice Springs,AU,clear sky,-23.7,133.88,Desert Palms Alice Springs
491,Le Port,RE,overcast clouds,-20.94,55.29,Villa Maido
497,Coruripe,BR,scattered clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
498,Black River,JM,few clouds,18.03,-77.85,Idlers' Rest Beach Hotel
502,Banjar,ID,broken clouds,-8.19,114.97,The Hamsa Resort
503,Taganak,PH,scattered clouds,6.08,118.3,
505,Maxixe,MZ,scattered clouds,-23.86,35.35,Oceano
506,Namatanai,PG,broken clouds,-3.67,152.43,Namatanai Hotel
507,The Valley,AI,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
513,Sola,VU,broken clouds,-13.88,167.55,Leumerus Bungalows
519,Kloulklubed,PW,overcast clouds,7.04,134.26,Storyboard Beach Resort
520,Kuching,MY,light rain,1.55,110.33,Hilton Kuching
521,Makakilo City,US,broken clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
523,Boa Vista,BR,scattered clouds,2.82,-60.67,Aipana Plaza Hotel
529,Oriximina,BR,overcast clouds,-1.77,-55.87,Pousada Tia Amélia
530,Bacungan,PH,few clouds,9.91,118.7,Sumayang Property
535,San Patricio,MX,clear sky,19.22,-104.7,Hotel Cabo Blanco
543,Cruz Grande,MX,clear sky,16.73,-99.13,Hotel Camila
549,Araouane,ML,broken clouds,18.9,-3.53,
550,Talara,PE,few clouds,-4.58,-81.27,Hostal Oro Negro
552,Acapulco,MX,clear sky,16.86,-99.89,Crowne Plaza Acapulco
554,Miri,MY,broken clouds,4.41,114.01,"Mega Hotel, Miri"
559,Linguere,SN,few clouds,15.4,-15.12,Centre Amadou Seck - Linguere
575,Yulara,AU,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
